"id","region","year","vybyv","pribyv","coefmigr","migrplus","pop","ipc","avto","longf","longm","long","estprir","infmort","income","goods","gini","belowmin","incgroup","badwater","vrppc","percmin","totsp","famsubs","docload","unemp","lvybyv","lpribyv","lcoefmigr","lmigrplus","lpop","lincome","lbadwater","lvrppc","dlpop","davto","dlongf","dlongm","dlong","destprir","dlincome","dlbadwater","dlvrppc","dtotsp"
2,"Алтай",2007,4270,4513,5.681,243,0.202436,0.113,1.859,7.02,5.86,6.43,7.4,14.062,7.0668,0.529,0.347,32.9,6.9,0.042,6.21946666666667,33.8,17.5,3.2,2.421,0.089,8.35960327084147,8.41493895737748,1.89926767694334,5.4971682252932,0.184349499128192,2.08775687328355,0.0411419433311752,1.97678108129356,0.000604788831089387,0.171,0.13,0.21,0.19,4.7,0.207223692002067,0.00481001408378501,0.219564173741909,0.100000000000001
2,"Алтай",2008,3905,4097,-0.981,9.22,0.203908,0.118,1.925,7.18,5.88,6.5,9.3,11.36,10.3848,0.509,0.36,25.7,6.6,0.046,7.64275833333333,26.5,17.7,4.7,2.391,0.126,8.27026911143662,8.31825432879885,-0.683601767716414,2.32434658477556,0.185572932006954,2.43227913238731,0.0449733656427312,2.15672178340924,0.00122343287876206,0.0660000000000001,0.159999999999999,0.0199999999999996,0.0700000000000003,1.9,0.344522259103763,0.00383142231155599,0.179940702115682,0.199999999999999
2,"Алтай",2009,4028,3772,-23.459,-256,0.205037,0.112,1.811,7.23,5.96,6.57,8.6,9.537,11.0813,0.502,0.344,31.1,7,0.026,8.092675,32.2,17.9,4.6,2.287,0.136,8.30127348519135,8.23562571996431,-3.19699824634888,-5.54907608489522,0.186510271865408,2.49165880261053,0.0256677467485778,2.20746914432563,0.000937339858454289,-0.114,0.0499999999999998,0.0800000000000001,0.0700000000000003,-0.700000000000001,0.0593796702232208,-0.0193056188941534,0.0507473609163887,0.199999999999999
2,"Алтай",2010,4811,4927,-0.388,119,0.205958,0.0861,1.76,7.17,6,6.57,8.3,9.453,13.5357,0.456,0.374,17.7,6.2,0.032,9.06079166666667,17.7,18.5,12.2,2.3,0.122,8.47886807709457,8.50268850521336,-0.327863862084613,4.78749174278205,0.187274271827912,2.67660769246593,0.031498667059371,2.30864585607501,0.000763999962504147,-0.0509999999999999,-0.0599999999999996,0.04,0,-0.299999999999999,0.184948889855391,0.0058309203107932,0.10117671174938,0.600000000000001
2,"Алтай",2011,10267,9972,-23.521,-295,0.207478,0.0638,1.923,7.128,5.986,6.54,10.5,11,13.8369,0.519,0.369,18.6,6.3,0.03,10.5958416666667,18.6,18.7,5.6,2.344,0.128,9.23678754199103,9.20763672040187,-3.19952989327066,-5.69035945432406,0.188533886916917,2.69711732103895,0.0295588022415444,2.45064655683258,0.00125961508900432,0.163,-0.0419999999999998,-0.0140000000000002,-0.0299999999999994,2.2,0.0205096285730288,-0.00193986481782659,0.142000700757569,0.199999999999999
2,"Алтай",2012,9927,9569,-25.312,159,0.209385,0.0701000000000001,1.832,7.305,6.08,6.68,10.9,13,14.2834,0.553,0.369,18.5,6.3,0.031,12.116675,18.5,18.9,4.1,2.332,0.116,9.20311432688444,9.166388484447,-3.27002510888676,5.07517381523383,0.190111965935674,2.72676727207501,0.0305292050348228,2.57388432151912,0.00157807901875723,-0.0910000000000002,0.177,0.0940000000000003,0.139999999999999,0.4,0.0296499510360602,0.000970402793278362,0.123237764686535,0.199999999999999
2,"Алтай",2013,10879,10130,-44.029,-749,0.210995,0.0643000000000001,1.863,7.344,6.148,6.734,9.8,12.5,14.7517,0.594,0.366,21.1,6.4,0.024,13.1572833333333,20.9,19.1,2.5,2.177,0.115,9.29468152040993,9.22335530905368,-3.80730672664961,-6.62007320653036,0.191442335743274,2.75694829595485,0.0237165266173161,2.65022921486847,0.00133036980760007,0.0310000000000004,0.0389999999999997,0.0679999999999996,0.0540000000000003,-1.1,0.0301810238798388,-0.00681267841750673,0.0763448933493511,0.200000000000003
2,"Алтай",2014,12097,12116,-18.902,384,0.212674,0.1014,2.401,7.386,6.188,6.776,9.6,9.5,17.134,0.586,0.367,20.7,6.4,0.035,15.3342833333333,20.7,19.4,3.2,2.137,0.097,9.40079542866686,9.40236470423152,-2.99082022919297,5.95324333428778,0.192827838688261,2.89778862922386,0.0344014267173323,2.79326617101641,0.00138550294498679,0.538,0.0420000000000007,0.0400000000000009,0.0420000000000007,-0.200000000000001,0.140840333269011,0.0106849001000163,0.143036956147939,0.299999999999997
3,"Башкорт.",2006,76128,73816,-8.375,-5.31,4.059848,0.0887999999999999,1.796,7.4,6.15,6.75,-2.5,10.917,8.9036,0.754,0.414,14.5,5.3,38.303,10.3699666666667,14.54,19.6,2.1,2.344,0.065,11.2401845487877,11.2093443363651,-2.23804657185647,-1.84213567655312,1.62133644332249,2.2928983274045,3.67130085183964,2.43097537606656,-0.00275419171656632,0.142,0.0700000000000003,0.11,0.0900000000000007,0.9,0.22774589045911,-0.011988003961048,0.255437032232719,0.400000000000002
3,"Башкорт.",2007,83052,88485,-5.885,5433,4.05413,0.126,1.891,7.43,6.18,6.79,-0.9,9.775,11.0728,0.809,0.43,12.8,4.9,38.331,12.1286583333333,12.8,20,3.6,2.323,0.065,11.3272342372066,11.3905996263919,-1.92934513218062,8.60043078998629,1.62020573083543,2.4909549883222,3.67201301200404,2.57479749979838,-0.00113071248705698,0.095,0.0299999999999994,0.0299999999999994,0.0400000000000009,1.6,0.198056660917702,0.000712160164392017,0.143822123731822,0.399999999999999
