X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83
352,4003,1927,6139,707,381,459,285,346,2459,2902,3974,1794,1483,8584,509,1749,3756,2052,4652,1857,4017,6693,7563,290,4595,2419,9382,0,8617,8068,2634,999,970,1306,1638,615,2000,1032,1782,5683,2209,1457,4134,2263,1871,2666,1020,2178,1132,10397,1609,3486,1807,2143,3833,3206,1781,1174,1318,2123,395,1406,1440,1024,9886,2534,1563,1250,1704,4141,1338,2838,1480,2408,1787,1609,2178,7215,8444,3538,3316
8797,5407,6690,2884,8390,9067,8554,8870,8755,8549,7880,8699,7315,7572,2356,8512,7184,7740,6913,4251,7404,4943,2330,1727,8673,4022,6695,765,8617,0,767,8338,7902,8463,8385,7849,8021,7796,8137,7877,3196,9103,8194,4773,7170,7758,5951,8383,8360,8058,4169,8075,9217,7615,8325,4784,5411,7070,8314,7540,8407,8547,7996,7213,7593,1353,6309,8398,7884,8167,4634,8149,5983,7320,6209,7837,8075,8360,3075,173,8263,6795
8248,4834,6141,2335,7841,8431,8005,8321,8206,8000,7331,8174,6766,7023,1786,7963,6635,7191,6364,3702,6855,4394,1781,2152,8124,3473,6146,1532,8068,767,0,7789,7353,7914,7836,7300,7472,7247,7588,7328,2647,8554,7645,4224,6621,7209,5402,7834,7811,7509,3597,7526,8668,7066,7776,4235,4862,6521,7765,6991,7858,7998,7447,6664,7044,2036,5760,7849,7335,7618,4085,7600,5434,6771,5660,7837,7526,7811,3272,594,7738,6270
2678,4063,2189,5860,3069,2998,2887,2887,2672,854,1114,2423,1784,1545,8642,2937,1739,4628,1573,4373,1691,3738,6414,5913,2525,4316,1653,9103,2634,8338,7789,0,2581,1884,1570,1133,2145,634,1657,995,5404,2199,1379,3855,1179,933,2390,1724,1224,1578,10455,1207,1137,1285,1271,3554,2927,2370,1570,1713,1475,2239,1269,1988,1928,9607,2029,1583,1548,1272,3862,1383,2355,1843,2281,855,1207,1224,5225,8165,1986,2769
1013,3422,1479,5424,488,574,652,1084,789,2463,2659,3835,1446,1186,8002,610,1401,2789,1704,3807,1521,3115,5978,7164,1083,3880,2071,8667,999,7902,7353,2581,0,1347,1475,1585,450,1947,1126,1729,4968,2508,1512,3419,1966,1818,1951,1346,2182,1075,9814,1613,3460,1510,2147,3118,2491,1270,1348,1021,2228,995,1314,956,676,9171,1945,1731,1056,1708,3426,1393,2123,1132,1693,1734,1613,2182,6914,7729,1986,3176
1014,3910,1773,5985,1471,1383,1223,1223,1008,1619,2152,3480,1547,1091,8055,1273,1502,3839,1805,4498,1454,3863,6539,7285,855,4441,2068,9228,970,8463,7914,1884,1347,0,403,888,897,1250,348,1032,5529,1279,625,3980,1594,1121,2512,160,1338,432,10303,806,2646,1138,1285,3679,3052,1668,314,926,1226,575,716,1286,959,9732,2343,666,601,896,3987,505,2669,1326,2254,1037,806,1338,6758,8290,3043,3085
1350,3412,1748,5907,1807,1722,1559,1559,1344,1216,1838,3202,1280,1001,7977,1609,1235,3834,1538,4420,1187,3785,6461,7125,1197,4363,1788,9150,1306,8385,7836,1570,1475,403,0,608,1039,936,488,752,5451,1040,222,3902,1314,769,2437,286,935,400,10457,463,2243,858,882,3601,2974,1643,133,898,823,911,571,1261,954,9654,2076,263,574,528,3909,303,2402,1247,2229,723,463,935,6524,8212,2765,2996
1682,3483,1433,5371,2073,1903,1891,1891,1676,1111,1399,2732,744,505,7441,1941,699,3588,1002,3884,651,3249,5925,6638,1529,3827,1180,8614,1638,7849,7300,1133,1585,888,608,0,1149,499,661,144,4915,1415,417,3366,706,269,1901,728,864,582,9875,302,2012,829,829,3065,2438,1330,715,673,910,1243,273,948,932,9118,1540,621,552,390,3373,387,1866,803,1792,278,302,864,6094,7676,2295,2429
795,3646,1331,5543,938,794,1004,868,853,2027,2360,3410,1198,887,8189,1054,1153,3141,1456,4056,1261,3421,6097,7121,671,3999,1823,8786,615,8021,7472,2145,450,897,1039,1149,0,1511,690,1293,5087,2072,1076,3538,1667,1382,2070,902,1746,639,10003,1177,3024,1211,1711,3237,2610,1185,912,722,1792,545,878,844,428,9290,1938,1295,654,1272,3545,957,1938,884,1812,1298,1177,1746,6766,7848,2973,2751
2044,3584,1647,5318,2435,2233,2253,2253,2038,753,902,2335,1150,911,8163,2303,1105,3994,1031,3831,1057,3196,5872,6387,1891,3774,1111,8561,2000,7796,7247,634,1947,1250,936,499,1511,0,1023,361,4862,1565,745,3313,637,299,1848,1090,590,944,9976,573,1513,643,637,3012,2385,1736,936,1079,841,1605,635,1354,1294,9065,1487,949,914,638,3320,749,1813,1209,1739,221,573,590,5784,7623,1898,2489
1076,3656,1447,5659,1533,1254,1285,1285,1070,1539,1925,3323,1232,765,7729,1335,1187,3513,1490,4172,1139,3537,6213,7083,923,4115,1841,8902,1032,8137,7588,1657,1126,348,488,661,690,1023,0,805,5203,1491,588,3654,1367,894,2186,246,1258,151,10048,689,2536,911,1223,3353,2726,1342,361,600,1304,653,390,960,633,9406,2028,744,253,784,3661,469,2354,1000,1928,810,689,1258,6588,7964,2886,2825
1826,3496,1484,5399,2217,2014,2035,2035,1820,973,1263,2625,795,556,7469,2085,750,3639,1053,3912,702,3277,5953,6540,1673,3855,1192,8642,1782,7877,7328,995,1729,1032,752,144,1293,361,805,0,4943,1476,561,3394,718,131,1929,872,733,726,9888,394,1874,296,698,3093,2466,1381,718,724,779,1387,417,999,1066,9146,1568,765,696,459,3401,531,1894,854,1820,140,394,733,5991,7704,2188,2322
