X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X80,X81,X82,X83
0.0003394433,0.0003208213,0.0005777008,0.0001851166,0.0003177629,0.0003821169,0.0003169572,0.0003169572,0.0003401361,0.0006042296,0,0.0006289308,0.0006317119,0.0006788866,0.000133833,0.0003120125,0.0006887052,0.0002284148,0.000896861,0.0002554278,0.0006146281,0.000304878,0.0001678979,0.0001729805,0.000358038,0.0002592017,0.0008368201,0.0001156738,0.0003445899,0.0001269036,0.000136407,0.0008976661,0.0003760812,0.000464684,0.0005440696,0.0007147963,0.0004237288,0.0011086475,0.0005194805,0.0007917656,0.0002021836,0.0004053506,0.0006071645,0.0002943774,0.0013869626,0.0008326395,0.0005175983,0.000502008,0.0006702413,0.0005417118,0.0001052742,0.0006779661,0.0005017561,0.000870322,0.0006497726,0.0003229974,0.0004050223,0.0004716981,0.0005440696,0.0006093845,0.0005737235,0.0003988831,0.0006506181,0.0005219207,0.0005042864,0.0001093016,0.0006365372,0.0005402485,0.0005506608,0.0006493506,0.000293772,0.0006056935,0.0005271481,0.0005927682,0.0005485464,0.000890472,0.0001891074,0.0001297522,0.0008673027,0.000486618
0.000240616,0.0002430724,0.0003648304,0.0001682935,0.0002357379,0.0002381519,0.0002431315,0.0002699784,0.000244798,0.0003332223,0.0006289308,0,0.0004378284,0.0003677823,0.0001151543,0.0002382087,0.0004108463,0.0001947799,0.0004164931,0.0002107482,0.0004208754,0.0002566076,0.0001517911,0.0001109632,0.0002408478,0.0002244669,0.0004022526,0.0001057641,0.0002516356,0.0001149557,0.0001223391,0.0004127115,0.0002607562,0.0002873563,0.0003123048,0.0003660322,0.0002932551,0.0004282655,0.0003009329,0.0003809524,0.0001814882,0.0002614379,0.0003332223,0.0002547771,0.0004997501,0.0003904725,0.0003124024,0.0002995806,0.000334672,0.0003170577,0.000094162,0.0003563792,0.0002763958,0.0003915427,0.0003419973,0.0002724796,0.0003314551,0.0003285151,0.0003147624,0.0003489184,0.0003164557,0.0002575992,0.0003356831,0.0003510004,0.0003291639,9.76276481499561E-05,0.000352485,0.0003120125,0.000319081,0.0003510004,0.000254842,0.0003335557,0.000418235,0.0003840246,0.0003290556,0.0003947888,0.0005058169,0.0001174122,0.0006447453,0.0004796163
0.0005065856,0.0003324468,0.001059322,0.0002067397,0.0005170631,0.0005205622,0.0004766444,0.0004885198,0.0005081301,0.0005675369,0.0006317119,0.0004378284,0,0.0021413276,0.0001318044,0.0004863813,0.0060606061,0.0003111388,0.0021367521,0.0002985075,0.0033444816,0.0003683241,0.0001854943,0.0001587806,0.0005405405,0.0003036745,0.0011976048,0.0001237624,0.0005574136,0.0001367054,0.0001477978,0.0005605381,0.0006915629,0.0006464124,0.00078125,0.001344086,0.0008347245,0.0008695652,0.0008116883,0.0012578616,0.0002282584,0.0004791567,0.0009182736,0.0003531073,0.0011454754,0.0010869565,0.0007315289,0.0007209805,0.0006570302,0.0008673027,0.000106383,0.0010309278,0.0003755163,0.0017513135,0.000672495,0.0003951008,0.0005252101,0.0010460251,0.00081103,0.0015748031,0.0006377551,0.0005800464,0.0011148272,0.0017421603,0.0012987013,0.0001164958,0.0009940358,0.0007733952,0.0010214505,0.0009416196,0.0003522367,0.0009560229,0.0007507508,0.0031847134,0.0007949126,0.0010764263,0.000170503,0.0001400168,0.0005414185,0.0005506608
0.0006013229,0.0003151592,0.0010775862,0.0001963094,0.0005973716,0.00066357,0.0005440696,0.0005760369,0.0006035003,0.0006565988,0.0006788866,0.0003677823,0.0021413276,0,0.000128999,0.0005567929,0.0023696682,0.0003243594,0.0013793103,0.0002772387,0.0026737968,0.0003364738,0.0001770538,0.0001511487,0.0006497726,0.0002816901,0.0009157509,0.0001199472,0.0006743088,0.0001320655,0.0001423893,0.0006472492,0.0008431703,0.0009165903,0.000999001,0.001980198,0.0011273957,0.0010976948,0.0013071895,0.0017985612,0.0002156102,0.0005411255,0.0012210012,0.0003237294,0.0012820513,0.0014684288,0.0006157635,0.0009891197,0.0007794232,0.0014577259,0.000103799,0.0013679891,0.0004125413,0.0030864198,0.0008012821,0.0003586801,0.0004627487,0.0012121212,0.0011210762,0.005952381,0.0007524454,0.0007686395,0.0023255814,0.0022573363,0.0019607843,0.0001131094,0.0007917656,0.0009487666,0.001953125,0.0012150668,0.0003229974,0.0014044944,0.0006293266,0.0033557047,0.0007097232,0.0014492754,0.0001617338,0.0001351534,0.0004382121,0.0004572474
0.0001136235,0.0001856665,0.0001447807,0.0003631082,0.0001165094,0.000110485,0.0001159152,0.0001202646,0.0001148633,0.0001578034,0.0001764291,0.0001151543,0.0001318044,0.000128999,0,0.0001163738,0.000134499,0.0002532287,0.0001379691,0.0002185315,0.000131527,0.000193836,0.0004784689,0.0005073567,0.0001133401,0.0002357934,0.000143947,0.0003213368,0.0001164958,0.0004244482,0.0005599104,0.000115714,0.0001249688,0.0001599744,0.0001619958,0.0001773993,0.000122115,0.000122504,0.0001687764,0.0001765225,0.0003126954,0.0001054407,0.0001671682,0.000209468,0.0001164415,0.0001550868,0.0001606942,0.0001413827,0.0001115947,0.0001710571,0.0005356186,0.0001705611,0.0001045478,0.0001276976,0.0001138434,0.0001987281,0.0001763047,0.0001395673,0.0001638807,0.0001294666,0.0001614205,0.000121124,0.0001728907,0.0001359065,0.000127081,0.0005356186,0.0001519295,0.0001616554,0.0001521144,0.0001679261,0.0002075119,0.0001684352,0.0001584284,0.0001329434,0.0001541307,0.0001777778,0.0004269855,0.0004608295,0.0001212562,0.0001475144
0.0019120459,0.0002491281,0.0004786979,0.0001657275,0.0034722222,0.0357142857,0.0075757576,0.0016835017,0.0027548209,0.0003620565,0.0003120125,0.0002382087,0.0004863813,0.0005567929,0.0001163738,0,0.000497265,0.0002942042,0.0004321521,0.000226398,0.0004692633,0.0002684564,0.0001517911,0.000131268,0.0016863406,0.0002227171,0.0003729952,0.0001077935,0.0019646365,0.0001174812,0.0001255808,0.0003404835,0.0016393443,0.000785546,0.000621504,0.0005151984,0.0009487666,0.0004342162,0.0007490637,0.0004796163,0.0001792757,0.0003980892,0.0005681818,0.0002482005,0.0003881988,0.0004599816,0.0003904725,0.0007558579,0.0004030633,0.0006968641,9.60984047664809E-05,0.0005230126,0.0002639219,0.0004716981,0.0004088307,0.0002682403,0.0003224766,0.0005319149,0.0006770481,0.0006131208,0.0004122012,0.0014326648,0.0005851375,0.0006385696,0.000777605,0.000102239,0.0003913894,0.0005359057,0.0006361323,0.0004982561,0.0002477701,0.0006093845,0.0003658983,0.0005740528,0.0004342162,0.0004784689,0.0001359989,0.0001199185,0.0002658867,0.0002825657
0.0005184033,0.0003501401,0.0011273957,0.0002124947,0.0005293806,0.0005455537,0.0004870921,0.0004995005,0.0005200208,0.0005824112,0.0006887052,0.0004108463,0.0060606061,0.0023696682,0.000134499,0.000497265,0,0.000315557,0.0029673591,0.0003106555,0.0039370079,0.0003869969,0.0001901141,0.0001583281,0.0005540166,0.0003162555,0.0014204545,0.000125802,0.0005717553,0.0001391982,0.0001507159,0.0005750431,0.0007137759,0.000665779,0.0008097166,0.0014306152,0.0008673027,0.0009049774,0.00084246,0.0013333333,0.0002352941,0.000489716,0.0009578544,0.0003702332,0.0013477089,0.0011428571,0.0008090615,0.0007451565,0.0006770481,0.0009025271,0.0001081315,0.0010810811,0.000381971,0.0019011407,0.0006934813,0.0004166667,0.0005640158,0.0010976948,0.0008417508,0.0016949153,0.0006565988,0.0005955926,0.0011737089,0.0018903592,0.0013793103,0.0001183012,0.0011428571,0.0008012821,0.0010706638,0.0009832842,0.0003692762,0.000999001,0.0008326395,0.0037174721,0.0008873114,0.0011312217,0.000168976,0.000142633,0.0005007511,0.0005344735
0.0002630195,0.0006071645,0.0003749531,0.0001900418,0.0003051572,0.0001817851,0.0002906132,0.0002581978,0.0002745744,0.0002171081,0.0002284148,0.0001947799,0.0003111388,0.0003243594,0.0002532287,0.0002942042,0.000315557,0,0.0003064664,0.0002866151,0.0003040438,0.0003575259,0.0001719395,0.0002373042,0.0002623295,0.0002644104,0.0003041363,0.0001175779,0.0002662407,0.000129199,0.0001390627,0.0002160761,0.0003585515,0.0002604845,0.0002608242,0.0002787068,0.0003183699,0.0002503756,0.000284657,0.0002748008,0.0002080732,0.0002087247,0.0002680247,0.0003092146,0.0002726281,0.0002656748,0.0003557453,0.0002660282,0.000230787,0.0002912056,0.0001486326,0.0002654632,0.0001815871,0.0002935134,0.0002326664,0.0003305785,0.0003549876,0.0004428698,0.0002697599,0.0003330003,0.0002283105,0.0002712968,0.0002889338,0.0003736921,0.0003472222,0.0001110001,0.0003445899,0.0002506266,0.0003067485,0.0002591345,0.0003004808,0.0002768549,0.0003246753,0.0003448276,0.0003773585,0.0002650411,0.0002134927,0.0001321528,0.0002129019,0.0003096934
0.0004480287,0.0003746722,0.0016233766,0.0002254791,0.0004562044,0.0004621072,0.0004244482,0.0004338395,0.0004492363,0.0005605381,0.000896861,0.0004164931,0.0021367521,0.0013793103,0.0001379691,0.0004321521,0.0029673591,0.0003064664,0,0.000339213,0.0017953321,0.000432339,0.000200441,0.0001651255,0.0004743833,0.0003459011,0.0027247956,0.0001302423,0.0004873294,0.000144655,0.0001571339,0.0006357279,0.0005868545,0.0005540166,0.0006501951,0.000998004,0.0006868132,0.0009699321,0.0006711409,0.0009496676,0.0002513194,0.000427716,0.0007423905,0.0004115226,0.0024691358,0.0010070493,0.0010362694,0.0006079027,0.0006269592,0.0007087172,0.0001102536,0.0008143322,0.0004078303,0.0012062726,0.0006410256,0.0004697041,0.000665779,0.0009950249,0.0006706908,0.0011198208,0.0006093845,0.0005045409,0.0008658009,0.0012019231,0.0009727626,0.0001222195,0.0016556291,0.0006447453,0.0008084074,0.0007575758,0.0004103406,0.0007668712,0.0010752688,0.0017482517,0.0011682243,0.0009328358,0.0001753463,0.000148368,0.000509165,0.000694927
0.0002074689,0.0008012821,0.0003669725,0.0005640158,0.0002328289,0.0001956182,0.0002242655,0.0002044572,0.0002145923,0.0002181501,0.0002554278,0.0002107482,0.0002985075,0.0002772387,0.0002185315,0.000226398,0.0003106555,0.0002866151,0.000339213,0,0.0002907822,0.0014450867,0.0004297379,0.0002331546,0.0002124044,0.0017094017,0.0003663004,0.000199362,0.0002149613,0.0002352388,0.0002701243,0.000228676,0.000262674,0.000222321,0.0002262443,0.0002574665,0.0002465483,0.0002610285,0.0002396932,0.0002556237,0.0007593014,0.0001946283,0.0002364625,0.0014409222,0.0003120125,0.0002636436,0.0005035247,0.0002263468,0.0002275313,0.0002443196,0.0001549667,0.000243309,0.0001904037,0.0002739726,0.0002293578,0.0012091898,0.0006915629,0.0003361345,0.0002299379,0.0002797203,0.0002251238,0.0002182453,0.0002480774,0.0003078818,0.000275634,0.0001811594,0.0004266212,0.0002255809,0.0002551671,0.0002379819,0.0011273957,0.0002390057,0.0004955401,0.0002980626,0.0004456328,0.0002582645,0.0002154708,0.0002452182,0.0002321263,0.0003521127
