,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г.Москва,Республика Карелия,Республика Коми,Архангельская область,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г.Санкт-Петербург,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Республика Дагестан,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия - Алания,Ставропольский край,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Курганская область,Свердловская область,Тюменская область,Челябинская область,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская авт. область,Чукотский автономный округ,Ненецкий авт.округ (Нарьян-Мар),Республика Ингушетия (Магас),Ханты-Мансийский авт.округ-Югра,Ямало-Ненецкий авт.округ
Вологодская область,1250,936,499,1023,361,745,299,1090,944,573,936,635,949,914,638,749,221,573,753,902,634,0,1565,590,1513,637,841,590,2044,2253,1891,1947,1511,1605,2435,2253,2038,2303,2000,1647,1150,911,1105,1031,1057,1111,637,643,1736,1079,1354,1294,1209,1848,1487,1813,1739,3584,5318,3994,3831,3196,5872,3774,4862,3313,3012,2385,3320,8163,6387,8561,7796,7247,9976,9065,7623,5784,1898,2233,2489,2335
Калининградская область,1279,1040,1415,1491,1476,1141,614,1245,1433,1246,1166,1423,801,1531,1139,1222,1436,1246,1368,2467,2199,1565,0,1035,2395,957,724,1035,2253,2462,2100,2508,2072,1814,2710,2462,2247,2512,2209,2667,2087,1848,2042,2338,1994,2418,1944,1665,2562,1817,2180,1911,2099,3155,2794,3120,3046,4905,6625,4791,5138,4503,7179,5081,6169,4620,4319,3692,4627,9484,7434,9868,9103,8554,11297,10372,8930,6592,3388,2730,3885,3825
Ленинградская область,1338,935,864,1258,733,811,614,1210,1179,639,1056,872,745,1149,474,869,693,639,393,1492,1224,590,1035,0,1420,183,311,0,2222,2431,2069,2182,1746,1783,2670,2431,2216,2481,2178,2178,1522,1283,1477,1595,1429,1675,1201,1023,2075,1385,1693,1529,1548,2412,2041,2377,2303,4382,5882,4333,4395,3760,6436,4338,5426,3877,3576,2949,3884,8961,6639,9125,8360,7811,10765,9629,8187,5886,2551,2475,3142,2988
Мурманская область,2646,2243,2012,2536,1874,2119,1357,2518,2457,1947,2364,2148,2100,2427,1782,2177,1734,1947,1027,1993,1137,1513,2395,1420,0,1491,1671,1420,3530,3739,3377,3460,3024,3091,3948,3739,3524,3789,3486,3068,2663,2424,2618,2452,2570,2532,2058,2164,3249,2592,2867,2807,2722,3269,2908,3234,3160,4984,6739,5507,5252,4617,7293,5195,6283,4734,4433,3806,4741,9565,5747,9982,9217,8668,11376,10486,9044,4893,3181,3629,3880,3618
Новгородская область (Великий Новгород),1285,882,829,1223,698,776,579,1162,1144,604,1008,837,619,1114,439,834,658,604,464,1539,1271,637,957,183,1491,0,233,183,2187,2396,2034,2147,1711,1748,2635,2396,2181,2446,2143,2143,1487,1248,1442,1560,1394,1640,1166,988,2040,1350,1658,1494,1513,2377,2016,2342,2268,4205,5847,4298,4360,3725,6401,4303,5391,3842,3541,2914,3849,8784,6741,9090,8325,7776,10597,9594,8152,6021,2487,2298,2940,2924
Псковская область,1226,823,910,1304,779,839,660,1103,1216,686,950,919,561,1196,521,916,740,686,644,1743,1475,841,724,311,1671,233,0,311,2167,2376,2014,2228,1792,1728,2624,2376,2161,2426,2123,224,1568,1329,1523,1641,1475,1721,1247,233,2121,1431,1739,1575,1594,2458,2097,2423,2349,4416,5929,4380,4442,3807,6483,4385,5473,3924,3623,2996,3931,6195,6899,9172,8407,7858,10797,9676,8234,6144,2724,2487,3177,3160
г.Санкт-Петербург,1338,935,864,1258,733,811,614,1210,1179,639,1056,872,745,1149,474,869,693,639,393,1492,1224,590,1035,0,1420,183,311,0,2222,2431,2069,2182,1746,1783,2670,2431,2216,2481,2178,2178,1522,1283,1477,1595,1429,1675,1201,1023,2075,1385,1693,1529,1548,2412,2041,2377,2303,4382,5882,4333,4395,3760,6436,4338,5426,3877,3576,2949,3884,8961,6639,9125,8360,7811,10765,9629,8187,5886,2551,2475,3142,2988
Республика Адыгея (Майкоп),1014,1350,1682,1076,1826,1501,1915,1064,1176,1653,1218,1450,1607,1313,1748,1382,1831,1653,2503,2946,2678,2044,2253,2222,3530,2187,2167,2222,0,605,258,1013,795,439,721,473,258,523,352,2107,1974,1663,1929,2232,2037,2599,2388,2187,1961,1498,1620,1204,1660,2846,2714,3018,2588,4223,6319,3802,4820,4128,6873,4775,5863,4314,4013,3386,4321,8801,7687,9562,8797,8248,10615,10066,8624,7308,3719,509,3497,4156
Республика Калмыкия (Элиста),1223,1559,1891,1285,2035,1710,2124,1273,1385,1862,1427,1659,1816,1503,1957,1591,2040,1862,2712,3155,2887,2253,2462,2431,3739,2396,2376,2431,605,0,543,1084,868,648,792,544,599,594,285,2180,2047,1736,2002,2305,2110,2672,2516,2060,2034,1571,1693,1277,1733,2919,2787,3091,2661,3736,6392,3873,4891,4199,6946,4848,5935,4387,4086,3459,4394,8315,7344,9635,8870,8321,10132,10139,8697,7022,3267,498,3045,3704
Краснодарский край,855,1197,1529,923,1673,1348,1762,911,1023,1500,1065,1297,1454,1160,1595,1229,1678,1500,2350,2793,2525,1891,2100,2069,3377,2034,2014,2069,258,543,0,1083,671,286,791,543,328,593,290,1983,1850,1539,1805,2108,1913,2475,2235,1779,1837,1374,1496,1080,1536,2722,2590,2894,2462,4392,6195,3812,4708,4073,6749,4651,5739,4190,3889,3262,4197,8823,7699,9438,8673,8124,10784,9942,8500,7293,3715,618,3491,4152
